,Nama Hotel,Nama Kota,Provinsi,Latitude,Longitude,Luas Kamar,Kapasitas,Rating,Harga
67,Whiz Hotel Cikini - Menteng,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.188364,106.836634,12,1,4.08,336960
68,Ayaka Suites,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2210966,106.8218246,20,4,4.58,561052
69,Holiday Inn Express JAKARTA WAHID HASYIM,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1873524,106.8220447,22,4,4.05,720000
70,Sentral Cawang Hotel,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,-6.2468391,106.8728186,18,2,4.03,425500
71,Four Seasons Hotel Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2323583,106.8207457,40,3,4.08,4307600
72,1O1 URBAN Jakarta Kelapa Gading (The BnB),Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1633499,106.8920413,18,2,4.02,359000
73,Somerset Grand Citra,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2417153,106.861032,40,3,4.03,2057940
74,Grand Dafam Ancol Jakarta,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.13,106.81899,45,2,4.03,674500
75,Harris Vertu Hotel Harmoni,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1647707,106.821018,28,3,4.05,942400
76,Holiday Inn Express JAKARTA INTERNATIONAL EXPO,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.149753,106.8449862,24,3,4.07,651307
77,U Stay Hotel Mangga Besar,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1495225,106.8343219,20,2,4.08,229770
78,Hotel Orchardz Industri,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.15,106.8448949,28,4,4.05,452466
79,Swiss-Belinn Wahid Hasyim,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1872469,106.8208427,20,2,4.25,570000
80,Kimaya Slipi Jakarta by Harris,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1952195,106.7976778,21,2,4.03,403750
81,Hotel Des Indes Menteng,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1964795,106.8284388,27,3,4.05,625000
82,Avenzel Hotel and Convention Cibubur,Kota Bekasi,Jawa Barat,-6.3624101,106.9242636,24,2,4.25,878000
83,Morrissey Hotel Residences,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1868572,106.8291932,29,3,4.07,1000000
84,Hotel Santika Kelapa Gading,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1497348,106.90302,22,2,4.03,558900
85,Swiss-Belresidences Kalibata,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2556973,106.8561705,24,3,4.05,550000
86,Citadines Sudirman Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.22,106.8187396,23,2,4.08,1714950
87,Asyana Kemayoran Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1651283,106.841667,18,2,4.42,417690
88,Midtown Residence Simatupang Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2926002,106.8002291,47,4,4.25,644000
89,Rasuna Icon Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.219968,106.8254971,18,3,4.03,635906
90,Akmani Hotel Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1875148,106.8256272,25,2,4.02,712500
91,Hotel Gren Alia Cikini,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1922863,106.8382761,28,2,4.42,395000
92,Fraser Residence Sudirman Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2096466,106.8220998,46,4,4.58,2881116
93,Hotel Neo Melawai by ASTON,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2457183,106.7981519,18,3,4.03,847174
94,Hi Hotel Senen,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1761556,106.8427246,18,3,4.03,390000
95,Kristal Hotel Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2825232,106.7919725,40,2,4.05,703364
96,Whiz Prime Hotel Kelapa Gading,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1554701,106.8966765,20,3,4.03,468000
97,THE 1O1 Jakarta Sedayu Darmawangsa,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.25,106.8016089,24,2,4.05,768000
98,Hotel Gran Mahakam,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.24,106.7955024,27,3,4.75,1333420
99,favehotel Puri Indah,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1829509,106.7507943,19,3,4.42,551908
100,favehotel Melawai,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2454849,106.8011765,17,3,4.25,475200
101,Cordela Hotel Senen,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1835287,106.8427741,18,3,4.58,404800
